src	tgt
किसने	कुन्नी
किसका	कुदा
किसकी	कुदी
कहीं	कुतकी
कहीं	कुथीं
किसीने	कुन्ही
कौन	कुण
कुलजा	कुल्ज
कुलदेवी	कुलज
मात्रएक	कूहरा
पपीही	कूहकू
कोनी	कूण
कोमल	कूला
क्योंकि	कै
क्योंकि	कैहजे
क्या	कैत
क्योंकर	कैसकी
क्यों	कैसकी
किसलिए	कैहजो
प्रकोप	कोप
कौवा	कोगला
कोई	कोखी
कोई	कोहखी
कोई	कोहकी
कोहरा	कोरा
कोस	कोह
कोशिश	कोसस
कटोरी	कौली
कटोरा	कौल
कुड़वाहट	कौड़पण
कड़वा	कौड़ा
सांप	खड़पा
कमाई	खटणा
लाभ	खटणा
पति	खसम
बढ़िया	खरा
बांया	खब्बा
दलदल	खब्बल
लोहार	खलोथी
लोहार	क्लोथी
शोर	खप्प
खटखटाना	खड़काणा
खुर्दरा	खरड़ा
खड़ेहोना	खड़ोणा
परेशान	खज्जल
घासणी	खरैतड़
मनमुटाव	खटपट
चमड़ी	खल
खाल	खल
पति	खसम
मालिक	खसम
खुरदरा	खसरा
परेशान	खज्जल
दरिया	खड्ड
नदी	खड्ड
ठीक	खरा
सही	खरा
गाल	खाख
कमी	खामी
दौड़	खिट
गेन्द	खिन्नू
विरान	खिल्ली
उजाड़	खिलवासा
जेब	खीसा
पत्थर	खींखर
जेब	खीड्सा
अन्तिम	खीरला
खींचना	खिंजणा
खुजली	खुरक
सूलेख	खुसकती
एड़ियां	खुरियां
खन्नस	खुन्दक
आभास	खुड़कना
खोदना	खुणना
चूभना	खुबणा
छीनना	खुसणा
छीनना	खूहणा
खारिश	खुरक
कुआं	खूह
छेड़छाड़	खेचल
शरारत	खेचल
भगाना	खेदणा
हांकना	खेदणा
थकावट	खेज
बचाव	खैर
खोड़	अखरोट
खोहणा	छीनना
खोपर	खोपड़ी
सिर	खोपर
अड़चन	खौदल
व्यवधान	खौदल
खलबली	खौदल
डर	खौफ
धुंधला	खौदला
गंदा	खौदला
खांसी	खंग
चीनी	खंड
गांठ	गठ
कमजोर	ग्याल
भारी	गरका
उबाल	गड़ाका
गढ्ढ़ा	गत्
बात	गल
बताना	गलाणा
गांव	ग्रा
निवाला	ग्राह
ग्रास	ग्राह
आगे	गांह
आकाश	गास
पीठ	गादा
अंगारा	गारू
जल्दबाज	गाजला
अंगारे	गाखड़
जल्दबाजी	गाजली
ग्राहक	गाहक
कंकर	गिट्टि
गुदगुदी	गितलू
गूंथना	गुन्हणा
चढ़ाना	गुआहणा
चढ़ाना	कुहाणा
बुनना	चढ़ाना
चालाक	गुज्जा
रिश्वत	गुज्ज
खोना	गुआचणा
अंग	गुआं
अंग	गुआ
अंगूठा	गूंठा
मल	गृह
आगे	गेडें
घुमाव	गेड
चक्कर	गेड
पराया	गैर
गोबर	गोआ
घुटना	गोडा
घुटना	जानू
उपला	गोहटू
उपला	गोहळू
उपला	गोहठा
धीरे	गोएं
कच्छा	गोच्छा
ध्यानपूर्वक	गौर
वंशज	घरैत
शरीक	सरीक
लड़ाई	घलाटी
गौशाला	घराल
पशुघर	घराल
पालना	घलोहलू
फिसलना	घसातड़
चक्की	घराटी
रगड़	घरीस
फटकार	घरीस
सूर्यास्त	घरूणा
सूर्यास्त	घरोणा
घिसापिटा	घसोरड़
पुराना	घसोरड़
अनुभवी	घसोरड़
खुर्चना	घरोड़ना
लकीर	घरीट
छिपकली	घनाकड़ी
लगना	घजालना
लुभाना	घजालना
भेजना	घलणा
खलल	घचोल
फिसलना	घसातड़
छलना	घचोलना
उलझाना	घचोल
घुटना	घटोणा
डुबना	घरोणा
खुरचना	घरोड़ना
पीना	घड़ोपणा
घरीसना	घरसाई
घरीसना	रगड़ना
घणा	घना
पिटाई	घाड़
घास	घा
घी	घियो
खर्राटे	घुरड़ी
कुश्ती	घुलना
कुश्ती	घुलाटी
भिड़ना	घोल
गहरा	घुप
नशा	घेर
घोच्चू	घोच्च
बदाण	घंण
छूना	च्हूणा
खुजली	चरड़
थप्पड़	चण्ड
चांटा	चण्ड
चपत	चपेड़
चपत	चांटा
भूतनी	चड़ेल
सेंडिल	चपलियां
आदत	चसका
चतुर	चरगटा
चालाक	चरगटा
चबरख	चबरही
चबरख	चतुरवरसी
चज	अच्छाई
चज	गुण
चुस्त	यत्तन
सजाना	चतरोणा
चाव	चा
शौक	चा
अचानक	चाणचक
ताली	चाट्टी
देर	चिर
समय	चिर
चिंगारी	चिरंग
ताली	चाट्टी
टिकिया	चाक्की
दुप्पटा	चादरू
चांदनी	चांनणी
खर्राटे	घुरड़ी
गहरा	घुप
नशा	घेर
उलझाना	घोचणा
उलझाना	घोखण
छूना	च्हूणा
खुजली	चरड़
पक्षी	चिडू
पक्षी	पखेरू
काटना	चिटणा
सफेद	चिट्टा
चिपकना	चिमड़ना
काटना	चिटणा
स्तन	चीचू
चीख	चीण्ड
झुर्रियां	चीमड़ियां
उठाना	चुकणा
कूटना	चुथणा
सनसनाहट	चुणचुणात
शिकायत	चुगली
उठाना	चुकणा
कूटना	चुथणा
शिकायत	चुगली
चूसना	चूपणा
छिलका	चेड़ना
झरना	छरूड़ा
छत	छप्पर
भुट्टा	छल्ली
सौन्दर्य	छलैपा
छांटना	छंडणा
छा	लस्सी
छलांग	छाल
छिटकना	छिटणा
क्षण	छिन
मारना	छित्तर
बून्दाबान्दी	छिटछटात
टुकड़ा	छिंगड़
ठोडी	छुनी
परछावां	छौरा
मुण्डन	जमालू
दुःख	जल्ब
परेशानी	जल्ब
खीझ	जल्ब
महिला	जणास
जलन	जलैहन
गुस्सा	जलैहन
वृद्ध	जबरा
जब	जदूं
जब	जाह्लू
दस्त	जलाब
मारना	जकणा
आंच	जर्व
क्षति	जर्व
चोटे	जर्व
कक्षा	जमात
सहपाठी	जमाती
ताला	जन्दरा
दशा	जहमत
उगना	जमणा
जन	जणे
आदमी	जणे
बारात	जनेत
गूंगा	जफ्फा
अभिमान	जलेड
क्रोध	जलनी
गूंगा	जल्हा
जामुन	जमणू
गुस्सा	जलणी
जब	जाहूलू
गुटना	जान्हूं
गोडा	जान्हूं
लड़का	जागत
जैसे	जियां
दबाना	जिकणा
जमीन	जिमी
खाद्यान	जिणस
जिसने	जिन्नी
जहां	जित
जहां	जित्थु
सांप	जीजू
कीड़ा	जीजू
कीड़ा	जीजला
दामाद	जुआई
जूते	जुट्टे
तरकीब	जुगत
जवान	जुआन
योनी	जून
ज्येष्ठ	जेठा
जेया	जेहड़ा
शक्तिशाली	जैला
स्थूल	जैला
जायदात	जैदात
डुबोना	जोहमणा
जबरदस्ती	जोराबरी
बारात	जंज
जोश	जुंग
यंत्र	जुंगला
टांग	जन्ग
सहना	झलणा
ताकना	झाक
ताकना	झाकणा
नीचे	झिक
समूह	झुण्ड
समूह	झुण्ड
रोकना	झू
झपकी	झूर
स्पर्श	झूणा
छूना	झूणा
भैंसा	झोट्टा
परिवार	टब्बर
खोपड़ी	टटरू
अलपक	टक
टेढ़ा	टहेरा
टेढ़ा	ढेरा
कफन	टल्ली
परछाई	टहेरा
परछाई	ढेरा
एकटक	टीहकी
जिद	टिसणी
रट	टिसणी
बून्द	टिप्पी
छोटा	टिट
छोटी	टिट
आंसू	टेपले
अश्रु	टेपले
शुरुवात	टेरना
छेडना	टेरना
शौक	ठरकी
कांपना	ठरना
आवाज़	ठणाका
टरकाना	ठस्सा
जगह	ठाहर
रोकना	ठाकणा
समझाना	ठाकणा
रोक	ठींगा
झाड़ना	ठुड़कणा
रौब	ठुक
डसना	डंग
काटना	डंग
रोकना	डकणा
ठहराना	डकणा
टुकड़ा	डकरू
टोटा	डकरा
डसना	डंगाणा
दाढ़	डाठ
विछाना	डाहणा
अस्थिरता	डिलकणा
बदशक्ल	डीग
देखना	डीकणा
गहराई	डुघ
गहरा	डुघा
सिसकना	डुसकणा
रीठे	डोडे
पशु	डंगरे
शैर	डंडारस
दुषप्रचार	डंडारस
फुर्सत	ढलौल
आदत	ढब
तुक	ढकोंसला
पटाखा	ढलाका
चोट	ढलाका
भूमि	ढफैल
चोट	ढमाका
गिरना	ढमाका
गुनगुना	ढबला
गिरना	ढहणा
धक्का	ढक्का
ढलना	ढलकना
कमर	ढाक
पेट	ढीठ
आलसी	ढीठ
हिचकी	ढिक्की
रखना	थैणा
हथेली	थिहाली
बदनामी	थिथिड़
नीचे	थल्लें
पलैंथ	थलपा
नींव	थलपा
धरातल	थल्ला
ग्रीष्मऋतु	तौंदी
शीघ्रता	तौल
तकला	तौकला
तवा	तौआ
रेजगारी	तोड़
रेजगारी	भान
हाथ	तोहद
गर्मी	तौहद
गर्मी	तोहूदी
गाए	तोकड़
दरार	तेड़
दरार	तरेड़
ठूसना	नूसणा
ठूसना	तूहणा
जांचना	तुलकणा
जांचना	तुलकणा
तुम्हारा	तुहाड़ा
तूने	तुद
आप	तुसां
शादी	तीण
उसने	तिन्नी
तझे	तिज्जो
वहां	तित
वहां	तित्थू
तक	तिकर
उसने	तिस
तपस	ता
ज्वर	ताप
बुखार	ताप
झरोखा	ताक
तब	तालू
तांह	तांह
छानना	तालना
सोचना	तकणा
तिगुना	तरीहरे
कोशिश	तरदद
तब	तधेडू
गर्म	तत्ता
धूप	तपणा
फैलाना	तणना
कमी	तरोट
सांयकाल	तरकालां
सूर्यास्त	तरकालां
तराजू	तरकड़ी
तराजू	तकड़ी
डकार	ढंकार
प्रतिबिम्ब	ढौर
परछाई	ढौर
आलसी	ढीठ
हिचकी	आलसी
तक	तिकर
उसने	तिस
वहां	तित
वहां	तित्थू
वैसे	तियां
उसने	तिन्नी
शादी	तीण
तीखा	तीखणा
आप	तुसां
तूने	तुद
तुम्हारा	तुहाड़ा
जांचना	तुलकणा
परखना	तुलकणा
दरार	तेड़
दरार	तरेड़
रखना	थैणा
मुंह	थोबड़
चेहरा	थोबड़
दहलीज	दरेल
दहलीज	देहल
दूर	दरेडा
नाश्ता	दतयालू
दरिया	दरयो
दाँत	दंद
दमड़ी	सिक्का
बैल	दान्द
होना	दिक
अनाज	दाणे
गर्भवती	दुआहणू
दवाई	दुआ
दुश्मन	दुसमण
दूसरा	दुजा
दरवाजा	दुरुआजा
दुगुना	दूणा
सौगन्ध	द्रोई
सौगन्ध	द्रोह
प्यास	धरया
मिलाना	धरूसणा
ढीठ	धग्गड़
थोड़ा	धख
शैल्फ	धारी
फेरा	धात
धी	धियाण
धी	ध्याण
मज़दूरी	धियाड़ी
पुत्री	धी
बेटी	धी
खींचना	धीड़ना
उधार	धुआर
प्रबन्ध	धोर
उपाय	धोर
तरीका	धोर
दिन	ध्याड़ा
संभालना	ध्यागणा
मज़दूरी	ध्याड़ी
बच्चे	न्याणे
सब्जी	न्योड़ा
अन्धेरा	न्हेरा
निचला	न्हीठा
ओंन्धा	न्हीठा
स्नान	न्होण
स्नान	न्हीण
न्याय	न्यां
उलटना	न्हैरना
उड़ेलना	न्हैरना
भागमभाग	न्हाट
झुकना	नपणा
निशान	नसाण
लाभ	नफा
निपटाना	नजीठणा
नालायक	नखिरद
गंवार	नखिद
ननद	नणान
नष्ट	नास
हानि	नास
भतर्सना	नालस
भतर्सना	नालसी
नींद	निन्दर
निमंत्रण	नियूंदर
प्रतीक्षा	निहालप
निर्मल	निमला
फूटना	निसरना
सख्त	निग्गर
सबजी	नियोड़ा
स्वभाव	नीत
शक्ल	नुआर
बुराई	नुक्स
कमी	नुक्स
बहू	नूहॅ
सुस्त	नेसती
लापरवाह	नेसती
अन्धेरा	नेरा
अन्धेरा	नेहरा
नया	नोआ
नहाना	नोहणा
मूर्ख	नौल
अनोखा	नौखा
अन्तिम	पचैणका
मेहमान	परोणा
अतिथि	परोणा
पीछे	पचांह
भड़कना	उलझना
पलटना	पलसेटा
गिरना	पलसेटा
भड़कना	पलपना
भड़कना	परवल
परमेश्वर	परमेसर
परमेश्वर	भगवान
पसंद	परसिंद
बोल	पखैन
कहावत	पखैणा
कसना	पडेर
जिद	पठर
पहरा	पठर
ताक	पठर
पालथी	पलाथा
पहचान	पछैण
अंकुर	पलूह
कोंपल	पलूह
पालतू	पालतू
प्रहरी	पाहरी
पानी	पाणी
बाप	पियो
मिर्च	पिप्पल
मायका	पियोकिए
वदन	पिंडा
शरीर	पिंडा
कनस्तर	पीपा
शहनाई	पीपणी
दबाना	पीथणा
दर्द	पीड़
निचोड़ना	पीड़ना
उल्टा	पुट्ठा
पंगा	पुआड़ा
समस्या	पुआड़ा
उखाड़ना	पुटणा
पंहुच	पुजणा
पुक्का	पुगता
सुदृढ़	पुगता
पोछना	पूंजणा
परत	पेपड़ी
तेज	पैना
सीढ़ियां	पौड़ियां
नर्म	पोल्ला
खोखला	पोल्ला
छिलका	पोचल
चुम्बन	पोक्का
भेद	पोल
गिरना	पौणा
पवन	पौण
पंक्ति	पंगत
खरगोश	फरडू
टेहड़ापर	फरड़
टेढ़ापर	फरड़
कुल्हाड़ी	फट
तलवार	फट
अन्तिम	फड्डी
पिछड़ा	फड्डी
फांसी	फाह
उफान	फाण
मोटरसाइकिल	फिटफिटा
फटकार	फिट्टेमुंह
ध्यान	फुक
मनोदशा	फुक
सुधी	फुक
चिंगारी	फुलंग
जलाना	फूकणा
फूंक	फूक
वेस्वाद	फेकला
तिरछा	फेट्टा
घूमना	फेरना
बेअसर	फोका
बेकार	फोका
खाली	फोका
पहेली	फोलणी
गीदड़	फोहकी
पंख	फंड
मार	फंड
पीटना	फंग
विश्राम	बसों
विश्राम	बसोणा
बैल	बल्द
बाप	बब
बाप	बब्ब
काटना	बढणा
बांधना	बन्हणा
भाई	बड़का
मालिक	बजिया
मेलजोल	बणौट
व्यवहार	बणौट
चावल	बबरू
वर्ष	बरही
टकराना	बजकणा
बिस्तर	बछाण
रस्सी	बरहें
बारिश	बरखा
फैलाना	बखूरना
बैग	बस्ता
दुःख	बजोग
बिछुड़ना	बजोग
अलग	बख
किनारा	बख
उड़ेलना	बरूरना
फैलाना	बरूरना
बच्चे	बच्छू
बच्चे	बैहडू
बच्चे	बच्छी
चिपकना	बझणा
पृथक	बखरा
मेलजोल	बणोट
सम्बन्ध	बणोत
आश्चर्यचकित	बझक
दंग	बसमै
हैरान	बसमै
झुंझलाना	बजलूणा
एकत्रित	बटोलना
तरीका	बतीरा
रास्ता	बत
बछड़ा	बच्छू
जलना	बलना
समय	बगत
कसाई	बक्करबढ
बरहना	बरसना
रस्सी	बरहें
काटना	बड्डणा
कसरत	बरजिस
ऐंठना	बटूणा
हद	बन्ना
सीमा	बन्ना
किनारे	बख्खें
पर्स	बटुआ
व्यापार	बपार
परिचित	बाकम
परिचय	बाकमी
बिना	बाहजी
गाय	बाखड़ी
खोलना	बाकणा
दुर्गन्ध	बास
सहारा	बाल
सहायता	बाल
बरसी	बारखी
क्षमा	बाहजीसार
फालतू	बाहदू
बीजना	बाहणा
वाबड़ी	बां
सुन्दर	बांका
सहलाण	बिल्ह
तार	बिलंग
नाक	बिन्हणा
छेदना	बिन्हणा
बेटी	बिट्टी
बिछोना	बिन्ना
बिगड़ना	बिचलना
चोटी	बीण
धनिया	बीणहू
चुनना	बीणना
मेड	बीड़
बाप	बुढ़ा
नीचे	बून्ह
बोझा	बुजका
हल्दी	बुसुआर
जानना	बुझणा
बेकार	बेहला
विशेषज्ञ	बेत्ता
समय	बेला
बछड़ी	बैहड़ी
बैठना	बैहणा
बहन	बैहण
मस्तणा	बैहकणा
बहन	बोबो
झाडू	बोंकरी
चूड़ी	बंग
बांस	बंझ
वाबड़ी	बां
बढ़िया	बांका
चना	बंजूड़ी
चना	बणजोड़ी
सुबह	भ्याग
सुबहसे	भ्यागणा
भूल	भलेखा
टूटना	भजणा
भाभी	भरोजी
भात	भत्
पेचीदा	भचड़ा
समस्या	भचड़ा
अड़चन	भचड़ा
भ्राता	भरातरी
अभिलाषा	भलाखा
चाह	भलाखा
तोड़ना	भजणा
छबील	भरोआ
भलियाई	भलाई
भाई	भाउ
रेजगारी	भान
वर्तन	भाण्डा
अचानक	भिल
सुबह	भियाग
भूनना	भुरड़ना
धूल	भुब्बल
मिट्टी	भुब्बल
अरबी	भुजू
छेद	भोका
भवन	भोण
हमारा	म्हारा
हमें	म्हांजो
हमें	सांझो
गरी	म्योआ
हमको	म्हांजो
गड्ढा	म्लैंह
भैंस	म्ह
स्वयं	म्हातड़
बारीक	महीन
अधिक	मता
मछली	मछी
बांस	मग्गर
चींटी	मकोड़ी
मसलना	मरोड़ना
सहायता	मदता
अध्यापिका	मस्ट्रणी
घमण्ड	मजाज
सोचा	मत्थ्या
मनपसंद	मनगरेंदा
मनपसंद	मनभांदा
आदत	मत
आस	मलेखा
अभिलाषा	मलेखा
मन	मलेखा
बुरा	मन्दड़ा
मजाक	मखौल
मस्ती	मस्ताहड़ा
हंसी	मस्ताहड़ा
शहद	मखीर
बारीक	म्हीन
चाहत	मलेखा
रोष	मलेखा
बमुश्किल	मसे
धीरे	मठ्ठा
अहिस्ता	मट्ठा
घमण्ड	मड़क
पंहुचना	मणसूणा
विवाह	मधरा
मति	मत
कुड़माई	मंगणी
सगाई	मंगणी
सम्मान	मान
इज्जत	मान
बुरा	माड़ा
सीढ़ी	मांज
कमजोर	मान्दा
मां बाप	मापे
आदमी	माहणू
होशियार	मारू
मां	माऊ
मां	मास्टर
मुझे	मिजो
मेथी	मिथरें
मेंढक	मीनक
हल्की	मीन्ही
भेड़	मींगणा
खटमल	मुंगण
सिर	मुड
जातक	मुण्डू
लड़का	मुण्डू
कठस्थ	मुखजबानी
खबर	मुंजस
गन्ध	मुस्क
भेड़	मुंडणा
गाली	मुआल
समाप्त	मुकणा
मूछों	मुछड़िया
लड़का	मुन्नु
कलाई	मूना
कन्धा	मूहंडा
पहले	मूरिया
मरोड़ना	मेकणा
परिचित	मैहरम
कील	मेख
मिटाना	मेसणा
लीडर	मेहड़ी
मुखिया	मेहड़ी
उम्मीद	मेद
चर्चा	मैंझर
दोषारोपण	मैंझर
खाद	मैल
मड़ा	मोआ
बेचारा	मोआ
मामे	मौले
चारपाई	मंजा
मांगना	मंगणा
राखी	रखड़ी
शोर	रड़त्त
जिद्द	रड़त्त
थोड़ा	रति
आवारागर्दी	रड़काटी
खटकना	रड़कना
बिगाड़	रहोल
आफत	रगढैठ
दशा	रगढैठ
रसोई	रसोला
नाई	राजा
पकना	रिझणा
पकाना	रिन्हणा
रीछ	रिच्छ
मुकाबला	रीस
बाधा	रूआरूआ
समस्या	रूआरूआ
खोना	रूलना
पेंच	रूगड़ा
समस्या	रूगड़ा
वृक्ष	रुख
शोर	रूल
गंजा	रोडा
शोर	रौला
रोना	रौण
खलारा	रंगाड़
हिलाना	ल्होल
लटकना	ल्महकणा
भूलना	ल्हूसणा
अवारा	लफंगा
झुकणा	लफणा
कठोर	लकड़
सीधा	लक्कड़
लात	लट्टा
झरोखा	लकोला
लंगड़ा	लट्टा
होंठ	लब्बड़
लिपटना	लपटूणा
कदम	लप
कमर	लक्क
लम्बा	लम्मी
बल्व	लाटू
दुल्हन	लाड़ी
दुल्हा	लाड़ा
शिकायत	लाहमा
लंगोट	लांगड़
प्रजाति	लियार
गीला	लिग्गा
पूंछ	लियूंगणी
पूंछ	लिद्रूण
लाना	लियोणा
लकीर	लीक
लेपना	लीम्बणा
रंगोली	लीखणू
छिपन	लुकण
छुपना	लुकण
छिपाना	लुकाणा
तरबूज	लुहाण
कोलतार	लुक
खारिश	लुक्क
लपट	लुआंटा
छिपना	लुकणा
औलाद	लुआद
उतरना	लुआणा
लिखवाना	लुखवाणा
दोषपूर्ण	लुच्चा
नमक	लूण
हिसाब	लेखा
लेखक	लेखू
जच्चा	लैरथी
प्रसूता	लैरथी
लेना	लैणा
खून	लोह
लहू	लोह
रोशनी	लोई
प्रकाश	लोई
उतरना	लोणा
उतरना	लौणा
छिपना	लोप
अदृश्य	लोप
छोटा	लोहका
छोटा	लौड्का
हिलना	लोहल
हिलाना	लोहल
लहर	लौल
हिलना	लौल
दिया	लंफ
दीया	लंप
वन	वण
तरफ	वखीं
बढ़ना	वधना
वक्सा	वकसडू
चकित	वझक्क
बिठाना	विहालना
वेसोबता	असभ्य
कठिन	विपदा
चिपकना	सचणा
अच्छा	सहोआं
सुन्दर	सहोआं
सच्चाई	सचयाई
सुख	सकसांत
समस्या	स्यापा
वृद्धावस्था	स्याणप
सर्द	स्याल
खेल	स्टापू
सेवा	स्योआ
चौकस	सनख्खा
इशारा	सगड़ी
तकिया	सरैणा
इशारा	सनक
बुलाना	सदणा
सौगन्ध	सगन्द
दांया	सज्जा
तमाम	सम्मुदा
सारा	सम्मुदा
बुलावा	सद्दा
पक्का	सद्दल
कठोर	सद्दल
भोजन	समला
शहनाई	सणहाई
सगा	सक्का
संक्रांति	सग्रांद
सलेट	सलोटी
सरकना	सलकूणा
शाम	संझ
अचेत	सणैट
त्यार	सरहेर
वंशज	सरीक
तीव्र	सरपेट
तीव्र	सरपट
बढ़ना	सरहूणा
मजबूत	सरूठ
प्रशंसा	सरागणा
प्रशंसा	सरोहता
सिसकाहट	ससकारा
निश्वास	ससकारा
फेंकना	सटणा
शौच	सचेता
सड़न	सडैन
सड़न	सन
मंगल	सगसान्त
मंगल	सुखसांत
आदत	सझ
जल्दी	सतावी
पगड़ी	साफा
सम्बन्ध	साख
हमारा	साड़ा
जैसा	सांही
सांस	साह
शामिल	सामल
सिट्टा	सिल्ला
गीला	सिन्ना
भीगना	सिजणा
छिलके	सिक्कड़
सेवा	सियोआ
सीधा	सिद्दड़
सिलवट	सिंगड़
सीधी	सिधियां
आसान	सिधियां
दीमक	सीख
सर्दी	सीत
मुफ्त	सीन्दी
सूर्योदय	सीरना
आर्शिवाद	सीस
आशीष	सीस
क्रोध	सींडणा
स्वर्ग	सुरग
शुद्ध	सुच्चा
सिवाए	सुआ
बेजान	सुन्न
निस्तब्ध	सुन्न
मन्नत	सुख्खण
दिखाई	सुझणा
फेंकना	सुटणा
सोये	सुतयो
सूखना	सुकणा
सोना	सुन्ने
सोना	सुन्न
सन्नाटा	सुनमसुन्नी
एहसान	सुआन
सुनाई	सुमणा
सलवार	सुत्थण
पायजामा	सुथणु
पजामा	सुथणु
सपना	सुपना
सूजन	सुजणा
सवाल	सुआल
प्रश्न	सुआल
सुस्त	सेहलड़
भिगोना	सेड़ना
अवसर	सेतरी
साईकल	सैकल
सौ	सैंकड़ा
खरगोश	सैहरू
लाठी	सोठी
ससुर	सोहरा
ससुर	सौहरा
सुन्दर	सोहणा
ससुराल	सोहरिए
सुधार	सोक्का
गुण	सोबत
आदत	सोबत
शौकीन	सौंकी
सोगन्ध	सौह
सोगन्ध	सोह
साथ	सौग
साथ	सौगी
आसान	सौखा
सावन	सौण
गाए	सौरना
आसान	सौखियां
कण्ठ	संग्घा
झिझकना	संगणा
गुड़	संचोलू
सांय	संझ
भोजन	संबला
सूंघना	सुंघढ़
शोर	हल्ला
तरीका	हज
नुक्सान	हर्ज
हानि	हर्ज
छोटी	हलकी
आवाज	हक
पुकारना	हक
अधिकार	हक
शोच	हगणा
दुकान	हट्टी
खेत	हार
हां	हामी
आषाढ़	हाड़
आंखे	हाखी
हिनहिनाना	हिणकणा
वक्ष	हिक
भूचाल	हिल्लण
भूकंप	हिल्लण
लालच	हिरख
नकल	हिरख
बहाना	हील्ला
शरारत	हुज्जत
छेड़छाड़	हुज्जत
प्रयास	हुडमुच्ची
ऋतु	हयूंद
ऋतु	हियूंद
होना	हुन्दा
इकट्ठा	हुंजणा
बाकी	होर
ज्यादा	होर
अन्य	होर
आह	होआ
गाय	त्रूणा
जान	त्राण
जोर	त्राण
नकम्मा	ढिक्खर
उपजाऊ	ज़रखेज़
उपजाऊ	पोआज़ी
उपदेश	गियान
उपदेश	नेक सलाह
उपदेश	नसीत
उपभोग	इस्तेमाल
उपभोग	बर्तना
उपभोग	बर्तणा
उपमा	जोड़
उपायुक्त	कलक्टर
उपलक्ष	बाबत
उपलब्ध	मौजूद
उपलब्ध	उपलब्ध
उपवास	ब्रत
उपहार	परोढ़
उपहास	मज़ाक
उपाधि	ख़िताब
उपाय	तरकीब,
उपाय	जुगाड़
उपाय	उपाय
उपहार	परोढ़
उपेक्षा	नफरत
उपेक्षा	नज़रअंदाज
उपेक्षा	ध्यान नीं देणा
उलझन	झमेला
उल्टा पुल्टा	उल़्टा पुल़्टा
उल्टा सीधा	पुट्ठा सिद्धा
उल्टी	पुट्ठी
उलाहना	ल़ाह्मा
उल्लिखित	लिखेया
